C1vZzxyVhV8	Zipster08	821	People & Blogs	245	2072	4.64	163	132
SD--8k_IsQo	SoldierInGodsArmy	821	People & Blogs	473	480	4.85	141	71
bOYsI7f90R0	galipoka	821	Comedy	77	2389	4.54	161	160
PvrrPCkHKLw	aravoth	821	News & Politics	237	8010	4.93	136	60
Ryeyee-4tw4	nalts	822	Comedy	316	222	4.66	148	133
XAs68-oHKhA	guywiththeglasses	821	Comedy	22	2518	4.56	151	145
53JV_3QR8f4	itslate2	820	Entertainment	369	9549	4.85	130	111
scm9nRm8tMY	DeltaDJ2006	821	Entertainment	79	260	5	120	0
IXFjHlaz1J0	DiGiTiLsOuL	821	Entertainment	303	1937	4.84	128	119
iaU9puwzMkE	hoiitsroi	821	People & Blogs	420	4726	4.72	127	230
FiSddAJNIoc	brettkeane	821	People & Blogs	903	636	4.44	147	41
i8K4WFTzjtE	potlot14	821	Comedy	474	1290	4.92	113	37
4kHKSZvJscE	lonelygirll15	822	Comedy	186	202	4.98	112	6
M2aZoFm4RVI	brettkeane	821	People & Blogs	693	951	4.07	183	75
rlom5CERakI	chriseliterbd	820	Entertainment	272	11151	4.97	110	11
o7zDjdsOasg	brettkeane	821	Comedy	675	712	4.25	157	57
Y9NgXIkyiwk	AgentXPQ	822	Comedy	108	1802	4.73	139	95
X0E6Sf2vOwI	toprank144	821	Music	249	649	4.89	112	8
i18uFHYsUvo	brettkeane	820	People & Blogs	897	729	4.39	143	74
icd4MgHPOno	brettkeane	821	People & Blogs	1141	827	4.28	149	72
GwtkWMZbQHk	hoiitsroi	821	Entertainment	192	5451	4.56	126	156
IT1rSaGmUDQ	chriseliterbd	820	Entertainment	211	13355	4.96	103	28
s8hRgb0WTt4	ostekakepstsnet	821	Gadgets & Games	415	1135	4.84	108	39
FMgKXKsZN90	WHATTHEBUCKSHOW	821	Entertainment	498	2571	4.78	110	99
cMKvJRRgAVY	MMASK	821	Comedy	110	566	4.94	100	6
TIs5FiOG2ho	Samsunlu1	820	Film & Animation	615	4551	4.91	104	7
ShbEBBcvtBc	chriseliterbd	820	Entertainment	395	11941	4.91	101	7
AVnvjE9ixZs	potlot14	821	Comedy	583	1377	4.91	100	30
0Cbzow5FsKQ	TheWoodcreekFaction	821	Comedy	106	1365	4.45	121	90
PNQwOuTpgLM	Samsunlu1	820	Film & Animation	617	4005	4.9	97	11
Iy3MkWs1-PI	Samsunlu1	820	Film & Animation	618	4947	4.95	91	13
D3Lr70lwaVg	rawful	820	Comedy	25	13313	4.83	103	42
UWLYfu04-RM	OneMJDN	821	Film & Animation	600	479	4.94	90	33
w867ePtiaZI	UrinatingTree	821	Gadgets & Games	546	1669	4.79	95	93
IEWBO8xZzpo	DiziTube	821	Entertainment	596	3953	4.94	87	9
caC_fGJT-SM	Blunty3000	821	People & Blogs	247	2664	3.97	152	143
Ub9JGlr9ok4	KnoxsKorner1	820	Comedy	379	1134	4.81	90	96
5OaFXetu46Q	NBC	821	Entertainment	266	2452	4.68	92	19
ZPoWU65NszY	billybigun64	821	People & Blogs	528	746	4.99	80	64
XKwaYhOnwRg	cankiriklari	821	Film & Animation	600	4427	4.96	80	14
jDdtzpmVb1U	UrinatingTree	821	Gadgets & Games	424	1764	4.75	89	0
LMO3Cg0frB8	brettkeane	821	News & Politics	808	474	4.2	117	47
R07C3wfft_4	HotPinkMidNite	820	Gadgets & Games	104	1278	4.92	84	83
o_sz0NvQfLc	jakedeherrera	821	Entertainment	111	1004	4.89	81	59
bp_TNrl8xc4	brettkeane	821	People & Blogs	364	464	4.49	99	37
ZcTFgT3Ufw8	nalts	820	Comedy	229	14892	4.76	691	407
S84s5OQIKg8	macpulenta	819	Film & Animation	235	24248	4.89	432	164
Q5VeaUW12pY	MiddleClassified	820	News & Politics	476	14571	4.98	412	179
2shafTX1KF8	TheRealParis	819	Comedy	135	19030	4.31	487	428
QW7pxFBBjaU	rickyste	820	People & Blogs	13	13375	4.59	403	620
iXT2E9Ccc8A	kembrew	819	Entertainment	561	46150	4.88	329	143
Gs87lI02tek	renetto	820	People & Blogs	646	8516	4.36	448	650
hxHjWYA50Ds	Politicstv	819	News & Politics	1204	36725	4.99	290	133
BgtJwf4dK1A	empiricalred	815	Sports	600	27387	4.88	283	127
oIfEw4e-0Yg	sleepingbeautywood	820	Music	223	57706	4.68	579	359
2IAEu6GtDWM	mikeskehan	821	Howto & DIY	140	2858	3.01	142	473
Y69y0LSgMxk	mrpregnant	822	Comedy	183	1342	4.27	75	346
05oT4ejpYGQ	FreePSP	820	Howto & DIY	36	3533	1.67	18	221
UbD7MG_j_UI	warren25smash	822	Entertainment	178	2252	3.15	200	202
DTHOgoGBUkw	michellemalkin	821	News & Politics	302	4655	4.14	74	187
Y_r8mMCsSHA	onedeaddj	821	News & Politics	312	3663	1.79	136	177
Sc33LPbqdl8	R3NDI3R	821	Entertainment	337	1782	3.15	140	170
rayY8wvYD08	vinnicamara	821	Entertainment	584	9532	4.81	80	157
TWTyJOsMmio	pigslop	822	Howto & DIY	468	1010	0	0	171
Dni7fBgm_iA	swiftkaratechop	820	Comedy	170	1135	4.89	64	128
T7NpsCWvjzg	HellionExciter	821	Pets & Animals	289	1670	4.21	103	128
